 magnetization (x)
 
# of ion       s       p       d       f       tot
--------------------------------------------------
    1       -0.006  -0.019   0.009   0.962   0.945
    2       -0.000  -0.000  -0.000   0.007   0.006
    3       -0.000  -0.000   0.002   0.017   0.018
    4       -0.000  -0.000  -0.000   0.004   0.004
    5       -0.000  -0.000   0.000   0.009   0.008
    6       -0.000  -0.000   0.000   0.009   0.009
    7        0.000  -0.000   0.000   0.007   0.007
    8       -0.000  -0.000   0.000   0.006   0.006
    9       -0.000  -0.000   0.001   0.010   0.011
   10       -0.000  -0.000   0.000   0.012   0.012
   11       -0.000  -0.000   0.000   0.009   0.009
   12       -0.000  -0.000   0.001   0.008   0.008
   13       -0.000  -0.001  -0.000   0.009   0.008
   14       -0.005  -0.017   0.007   0.778   0.764
   15       -0.000  -0.000   0.001   0.008   0.009
   16       -0.000  -0.000   0.001   0.009   0.009
   17       -0.000  -0.000  -0.000   0.000   0.000
   18       -0.000  -0.000  -0.000   0.001   0.001
   19       -0.000  -0.000   0.000   0.001   0.001
   20       -0.000  -0.000   0.000   0.002   0.001
