 magnetization (x)
 
# of ion       s       p       d       f       tot
--------------------------------------------------
    1       -0.006  -0.021   0.010   0.968   0.951
    2       -0.000  -0.000  -0.001   0.007   0.006
    3       -0.000  -0.001   0.002   0.031   0.033
    4       -0.000  -0.000   0.000   0.010   0.010
    5       -0.000  -0.000   0.000   0.009   0.009
    6       -0.000  -0.000  -0.000   0.001   0.001
    7        0.000  -0.000   0.000   0.004   0.004
    8       -0.000  -0.000   0.000   0.005   0.006
    9       -0.000  -0.000   0.001   0.006   0.007
   10       -0.000  -0.000   0.000   0.013   0.013
   11       -0.000  -0.001   0.001   0.021   0.021
   12       -0.000  -0.000   0.001   0.009   0.010
   13       -0.000  -0.000  -0.000   0.009   0.008
   14       -0.000  -0.000   0.001   0.009   0.010
   15       -0.000  -0.000   0.001   0.012   0.012
   16       -0.000  -0.000   0.001   0.008   0.009
   17        0.000  -0.000  -0.000   0.000   0.000
   18       -0.000  -0.000   0.000   0.003   0.003
   19       -0.000  -0.000   0.000   0.002   0.002
   20       -0.000  -0.000  -0.000   0.000  -0.000
