# mode   freq(cm-1)        dmu_x          dmu_y          dmu_z          |dmu|^2         legacy_x      legacy_x^2       legacy_y      legacy_y^2       legacy_z      legacy_z^2
   1      3834.82      -0.273365      -0.070451      -0.331219     0.189397543423      -0.273365     0.074728405426      -0.070451     0.004963381268      -0.331219     0.109705756729
   2      3829.00       0.045125       0.006899      -0.375435     0.143035258334       0.045125     0.002036235820       0.006899     0.000047590927      -0.375435     0.140951431587
   3      3823.20      -0.249702       0.246987       0.047429     0.125603184953      -0.249702     0.062351225728       0.246987     0.061002422535       0.047429     0.002249536691
   4      3814.98       0.271854       0.129548      -0.116534     0.104267567707       0.271854     0.073904645043       0.129548     0.016782638800      -0.116534     0.013580283864
   5      3803.58      -0.151207       0.304405      -0.016199     0.115788381719      -0.151207     0.022863454366       0.304405     0.092662533214      -0.016199     0.000262394139
   6      3799.20       0.174795      -0.312092      -0.041146     0.129647842809       0.174795     0.030553267659      -0.312092     0.097401546914      -0.041146     0.001693028236
   7      3446.48       0.323646      -0.870920       0.177168     0.894637275797       0.323646     0.104746417818      -0.870920     0.758502372547       0.177168     0.031388485432
   8      3319.46      -0.577693      -0.091665       0.042702     0.343955339103      -0.577693     0.333729485222      -0.091665     0.008402424097       0.042702     0.001823429783
   9      3212.42      -0.421971       0.373539       0.419827     0.493845979182      -0.421971     0.178059213196       0.373539     0.139531651173       0.419827     0.176255114813
  10      3201.70      -0.013479      -0.490158      -0.898249     1.047287471017      -0.013479     0.000181688494      -0.490158     0.240255177697      -0.898249     0.806850604826
  11      3160.99      -0.942833      -1.232102      -0.651676     2.831690815566      -0.942833     0.888933300967      -1.232102     1.518076076421      -0.651676     0.424681438177
  12      3104.52      -1.616175       0.289007      -0.370440     2.832771689526      -1.616175     2.612020670420       0.289007     0.083525091531      -0.370440     0.137225927575
  13      3083.67       0.033872      -0.059587      -0.003414     0.004709629069       0.033872     0.001147313707      -0.059587     0.003550662067      -0.003414     0.000011653295
  14      3074.64      -0.019840       0.097302      -0.181315     0.042736324698      -0.019840     0.000393619489       0.097302     0.009467652095      -0.181315     0.032875053114
  15      3059.53       0.298514      -0.157560      -0.850375     0.837073010280       0.298514     0.089110658090      -0.157560     0.024825279401      -0.850375     0.723137072789
  16      3056.26      -0.606116       0.310487       1.501584     2.718533528496      -0.606116     0.367376736257       0.310487     0.096402379177       1.501584     2.254754413062
  17      2954.52       0.063801      -0.004732      -0.241512     0.062420887378       0.063801     0.004070530060      -0.004732     0.000022395360      -0.241512     0.058327961958
  18      2925.54       0.310502      -0.169928      -0.798286     0.762547843081       0.310502     0.096411659946      -0.169928     0.028875617509      -0.798286     0.637260565627
  19      2898.13      -0.130218      -0.051549      -0.973969     0.968229849591      -0.130218     0.016956785783      -0.051549     0.002657289928      -0.973969     0.948615773880
  20      1665.79      -0.001889       0.935606       0.546545     1.174073598789      -0.001889     0.000003566890       0.935606     0.875358529844       0.546545     0.298711502054
  21      1650.07       0.404627      -1.423927      -1.182645     3.589942273656       0.404627     0.163722865415      -1.423927     2.027569269226      -1.182645     1.398650139015
  22      1642.14      -0.082301      -0.493470      -0.385832     0.399151893655      -0.082301     0.006773490458      -0.493470     0.243512346163      -0.385832     0.148866057035
  23      1638.40      -0.242651       0.037931       0.030660     0.061258482495      -0.242651     0.058879734394       0.037931     0.001438739954       0.030660     0.000940008147
