# frequency_cm-1 intensity
  -19.966090 5.105955377920e-07
  -18.991533 9.003563008114e-07
  -18.016977 1.566883056382e-06
  -17.042420 2.691186674384e-06
  -16.067863 4.561802022154e-06
  -15.093307 7.631585074700e-06
  -14.118750 1.260024942885e-05
  -13.144193 2.053194132987e-05
  -12.169637 3.301929602542e-05
  -11.195080 5.240744816085e-05
  -10.220523 8.209300576578e-05
   -9.245966 1.269135008872e-04
   -8.271410 1.936415956927e-04
   -7.296853 2.915945096358e-04
   -6.322296 4.333618332477e-04
   -5.347740 6.356432567056e-04
   -4.373183 9.201711545663e-04
   -3.398626 1.314671291415e-03
   -2.424070 1.853788740657e-03
   -1.449513 2.579877023569e-03
   -0.474956 3.543519241079e-03
    0.499600 4.803624587323e-03
    1.474157 6.426927194321e-03
    2.448714 8.486712538021e-03
    3.423270 1.106061540260e-02
    4.397827 1.422737744530e-02
    5.372384 1.806252441299e-02
    6.346940 2.263302245626e-02
    7.321497 2.799109497096e-02
    8.296054 3.416751644585e-02
    9.270611 4.116483381818e-02
   10.245167 4.895108119109e-02
   11.219724 5.745463112611e-02
   12.194281 6.656084672998e-02
   13.168837 7.611114908368e-02
   14.143394 8.590498697180e-02
   15.117951 9.570499267215e-02
   16.092507 1.052453419291e-01
   17.067064 1.142430319336e-01
   18.041621 1.224114804913e-01
   19.016177 1.294755697150e-01
   19.990734 1.351870455291e-01
   20.965291 1.393390713914e-01
   21.939847 1.417787415751e-01
   22.914404 1.424164923055e-01
   23.888961 1.412315979534e-01
   24.863517 1.382732788358e-01
   25.838074 1.336573391222e-01
   26.812631 1.275586528828e-01
   27.787188 1.202001776176e-01
   28.761744 1.118394573742e-01
   29.736301 1.027537525831e-01
   30.710858 9.322498645153e-02
   31.685414 8.352562958293e-02
   32.659971 7.390647167646e-02
   33.634528 6.458697947739e-02
   34.609084 5.574864822409e-02
   35.583641 4.753145583339e-02
   36.558198 4.003325775644e-02
   37.532754 3.331174128350e-02
   38.507311 2.738840687130e-02
   39.481868 2.225396626501e-02
   40.456424 1.787453879778e-02
   41.430981 1.419807690423e-02
   42.405538 1.116054358139e-02
   43.380094 8.691480526694e-03
   44.354651 6.718729066041e-03
   45.329208 5.172182621726e-03
   46.303765 3.986549166322e-03
   47.278321 3.103178990319e-03
   48.252878 2.471065342707e-03
   49.227435 2.047154538783e-03
   50.201991 1.796111712058e-03
   51.176548 1.689683497843e-03
   52.151105 1.705784839969e-03
   53.125661 1.827418606097e-03
   54.100218 2.041517601579e-03
   55.074775 2.337781468950e-03
   56.049331 2.707567150932e-03
   57.023888 3.142881231487e-03
   57.998445 3.635514813637e-03
   58.973001 4.176355348863e-03
   59.947558 4.754903510905e-03
   60.922115 5.359015468314e-03
