   1     63.865398 THz    401.278133 2PiTHz   2130.320385 cm-1    264.125946 meV
   2     63.390129 THz    398.291926 2PiTHz   2114.467099 cm-1    262.160390 meV
   3     63.120850 THz    396.599999 2PiTHz   2105.484933 cm-1    261.046744 meV
   4     62.945804 THz    395.500150 2PiTHz   2099.646009 cm-1    260.322810 meV
   5     62.724309 THz    394.108455 2PiTHz   2092.257728 cm-1    259.406780 meV
   6     61.826591 THz    388.467927 2PiTHz   2062.313081 cm-1    255.694119 meV
   7     61.558815 THz    386.785439 2PiTHz   2053.381026 cm-1    254.586686 meV
   8     48.230445 THz    303.040822 2PiTHz   1608.794469 cm-1    199.465003 meV
   9     26.486743 THz    166.421114 2PiTHz    883.502645 cm-1    109.540318 meV
  10     21.238027 THz    133.442459 2PiTHz    708.424323 cm-1     87.833382 meV
  11     12.035492 THz     75.621226 2PiTHz    401.460798 cm-1     49.774773 meV
  12     10.132430 THz     63.663935 2PiTHz    337.981482 cm-1     41.904344 meV
  13      9.114317 THz     57.266942 2PiTHz    304.020889 cm-1     37.693769 meV
  14      9.059820 THz     56.924528 2PiTHz    302.203065 cm-1     37.468388 meV
  15      8.568169 THz     53.835395 2PiTHz    285.803364 cm-1     35.435085 meV
  16      8.161685 THz     51.281377 2PiTHz    272.244497 cm-1     33.754001 meV
  17      7.980564 THz     50.143365 2PiTHz    266.202974 cm-1     33.004947 meV
  18      7.966027 THz     50.052026 2PiTHz    265.718073 cm-1     32.944827 meV
  19      7.664481 THz     48.157356 2PiTHz    255.659575 cm-1     31.697733 meV
  20      7.372477 THz     46.322640 2PiTHz    245.919368 cm-1     30.490102 meV
  21      7.195511 THz     45.210730 2PiTHz    240.016416 cm-1     29.758230 meV
  22      6.820425 THz     42.853991 2PiTHz    227.504875 cm-1     28.206997 meV
  23      6.727752 THz     42.271710 2PiTHz    224.413636 cm-1     27.823732 meV
  24      6.666247 THz     41.885267 2PiTHz    222.362076 cm-1     27.569371 meV
  25      6.581776 THz     41.354516 2PiTHz    219.544403 cm-1     27.220025 meV
  26      6.065209 THz     38.108831 2PiTHz    202.313588 cm-1     25.083677 meV
  27      5.552577 THz     34.887870 2PiTHz    185.214031 cm-1     22.963603 meV
  28      5.448578 THz     34.234422 2PiTHz    181.744983 cm-1     22.533496 meV
  29      5.121027 THz     32.176360 2PiTHz    170.819065 cm-1     21.178855 meV
  30      4.264780 THz     26.796401 2PiTHz    142.257737 cm-1     17.637704 meV
  31      4.019035 THz     25.252345 2PiTHz    134.060593 cm-1     16.621388 meV
  32      3.757821 THz     23.611088 2PiTHz    125.347426 cm-1     15.541093 meV
  33      3.655722 THz     22.969582 2PiTHz    121.941776 cm-1     15.118847 meV
  34      3.501497 THz     22.000554 2PiTHz    116.797367 cm-1     14.481021 meV
  35      3.398518 THz     21.353519 2PiTHz    113.362359 cm-1     14.055135 meV
  36      3.301273 THz     20.742507 2PiTHz    110.118600 cm-1     13.652960 meV
  37      3.167203 THz     19.900120 2PiTHz    105.646505 cm-1     13.098491 meV
  38      3.001172 THz     18.856917 2PiTHz    100.108307 cm-1     12.411843 meV
  39      2.859418 THz     17.966254 2PiTHz     95.379922 cm-1     11.825598 meV
  40      2.801554 THz     17.602681 2PiTHz     93.449772 cm-1     11.586290 meV
  41      2.629600 THz     16.522262 2PiTHz     87.714002 cm-1     10.875145 meV
  42      2.478819 THz     15.574878 2PiTHz     82.684496 cm-1     10.251566 meV
  43      2.416925 THz     15.185988 2PiTHz     80.619943 cm-1      9.995595 meV
  44      2.300490 THz     14.454403 2PiTHz     76.736076 cm-1      9.514057 meV
  45      2.126985 THz     13.364242 2PiTHz     70.948587 cm-1      8.796500 meV
  46      1.822170 THz     11.449032 2PiTHz     60.781051 cm-1      7.535887 meV
  47      1.627423 THz     10.225403 2PiTHz     54.285002 cm-1      6.730479 meV
  48      1.511327 THz      9.495949 2PiTHz     50.412452 cm-1      6.250345 meV
  49      1.168935 THz      7.344633 2PiTHz     38.991461 cm-1      4.834323 meV
  50      0.919635 THz      5.778235 2PiTHz     30.675709 cm-1      3.803301 meV
  51      0.355930 THz      2.236375 2PiTHz     11.872551 cm-1      1.472008 meV
